customer_id,first_name,last_name,city,state,mobile,email
1,Sneha,Patil,Jaipur,Rajasthan,9021846283,sneha.patil1@gmail.com
2,Amit,Chauhan,Hyderabad,Telangana,9551408350,amit.chauhan2@gmail.com
3,Rahul,Chauhan,Nagpur,Maharashtra,9343358369,rahul.chauhan3@gmail.com
4,Nisha,Singh,Ahmedabad,Gujarat,9438303361,nisha.singh4@gmail.com
5,Simran,Jain,Bhilai,Chhattisgarh,9362253137,simran.jain5@gmail.com
6,Rakesh,Singh,Mumbai,Maharashtra,9087444680,rakesh.singh6@gmail.com
7,Nisha,Sharma,Chennai,Tamil Nadu,9200448636,nisha.sharma7@gmail.com
8,Aarti,Pandey,Kolkata,West Bengal,9246998433,aarti.pandey8@gmail.com
9,Nisha,Patil,Raigarh,Chhattisgarh,9546997332,nisha.patil9@gmail.com
10,Karan,Kumar,Durg,Chhattisgarh,9253912096,karan.kumar10@gmail.com
11,Aarti,Yadav,Ahmedabad,Gujarat,9895010425,aarti.yadav11@gmail.com
12,Karan,Chauhan,Hyderabad,Telangana,9726860279,karan.chauhan12@gmail.com
13,Riya,Yadav,Ranchi,Jharkhand,9565630354,riya.yadav13@gmail.com
14,Rohit,Agarwal,Pune,Maharashtra,9220143960,rohit.agarwal14@gmail.com
15,Anjali,Singh,Hyderabad,Telangana,9015442630,anjali.singh15@gmail.com
16,Arjun,Mishra,Pune,Maharashtra,9120096473,arjun.mishra16@gmail.com
17,Rohit,Sharma,Raigarh,Chhattisgarh,9861135787,rohit.sharma17@gmail.com
18,Aarti,Gupta,Raipur,Chhattisgarh,9322393865,aarti.gupta18@gmail.com
19,Simran,Kumar,Lucknow,Uttar Pradesh,9333509963,simran.kumar19@gmail.com
20,Rakesh,Sahu,Bhilai,Chhattisgarh,9024113692,rakesh.sahu20@gmail.com
21,Simran,Verma,Hyderabad,Telangana,9759933511,simran.verma21@gmail.com
22,Karan,Yadav,Lucknow,Uttar Pradesh,9149836960,karan.yadav22@gmail.com
23,Sneha,Sharma,Durg,Chhattisgarh,9118854188,sneha.sharma23@gmail.com
24,Karan,Kumar,Delhi,Delhi,9165230679,karan.kumar24@gmail.com
25,Suresh,Chauhan,Raigarh,Chhattisgarh,9914327334,suresh.chauhan25@gmail.com
26,Aarti,Soni,Surat,Gujarat,9693184187,aarti.soni26@gmail.com
27,Rohit,Jain,Kolkata,West Bengal,9253742341,rohit.jain27@gmail.com
28,Nisha,Kumar,Ranchi,Jharkhand,9075425150,nisha.kumar28@gmail.com
29,Rakesh,Singh,Ranchi,Jharkhand,9593780313,rakesh.singh29@gmail.com
30,Rohit,Patil,Raipur,Chhattisgarh,9350151580,rohit.patil30@gmail.com
31,Amit,Soni,Bhopal,Madhya Pradesh,9604566448,amit.soni31@gmail.com
32,Sneha,Soni,Chennai,Tamil Nadu,9833889100,sneha.soni32@gmail.com
33,Sneha,Yadav,Raipur,Chhattisgarh,9673994293,sneha.yadav33@gmail.com
34,Rahul,Pandey,Delhi,Delhi,9611732526,rahul.pandey34@gmail.com
35,Vivek,Yadav,Lucknow,Uttar Pradesh,9442435642,vivek.yadav35@gmail.com
36,Suresh,Jain,Hyderabad,Telangana,9226374640,suresh.jain36@gmail.com
37,Riya,Jain,Pune,Maharashtra,9250176435,riya.jain37@gmail.com
38,Rohit,Mishra,Mumbai,Maharashtra,9590008635,rohit.mishra38@gmail.com
